MPG,cylinders,displ,FWD,RWD,AWD,Gas,Diesel ,Manual,Automatic,year
21,4,2,0,1,0,1,0,1,0,1985
11,12,4.9,0,1,0,1,0,1,0,1985
27,4,2.2,1,0,0,1,0,1,0,1985
11,8,5.2,0,1,0,1,0,0,1,1985
19,4,2.2,0,0,1,1,0,1,0,1993
22,4,1.8,1,0,0,1,0,0,1,1993
25,4,1.8,1,0,0,1,0,1,0,1993
24,4,1.6,1,0,0,1,0,0,1,1993
26,4,1.6,1,0,0,1,0,1,0,1993
25,4,1.8,1,0,0,1,0,0,1,1993
26,4,1.8,1,0,0,1,0,1,0,1993
21,4,2,1,0,0,1,0,0,1,1993
24,4,2,1,0,0,1,0,1,0,1993
21,4,2,1,0,0,1,0,0,1,1993
13,8,5.2,0,1,0,1,0,0,1,1985
23,4,2,1,0,0,1,0,1,0,1993
20,4,2.3,0,1,0,1,0,0,1,1993
21,4,2.3,0,1,0,1,0,1,0,1993
19,6,2.8,1,0,0,1,0,0,1,1993
19,6,2.8,1,0,0,1,0,1,0,1993
16,8,4,0,1,0,1,0,0,1,1993
16,8,4,0,1,0,1,0,0,1,1993
13,12,5,0,1,0,1,0,0,1,1993
23,4,2.2,1,0,0,1,0,0,1,1993
19,6,3.3,1,0,0,1,0,0,1,1993
13,8,5.2,0,1,0,1,0,1,0,1985
21,6,3.3,1,0,0,1,0,0,1,1993
20,6,3.1,1,0,0,1,0,0,1,1993
20,6,3.1,1,0,0,1,0,0,1,1993
20,6,3.8,1,0,0,1,0,0,1,1993
20,6,3.8,1,0,0,1,0,0,1,1993
18,8,4.6,1,0,0,1,0,0,1,1993
17,8,4.9,1,0,0,1,0,0,1,1993
18,8,4.6,1,0,0,1,0,0,1,1993
17,8,4.9,1,0,0,1,0,0,1,1993
21,4,2.2,1,0,0,1,0,0,1,1993
13,8,5.2,0,1,0,1,0,1,0,1985
20,6,3.1,1,0,0,1,0,0,1,1993
20,6,3.1,1,0,0,1,0,0,1,1993
18,6,3.4,1,0,0,1,0,0,1,1993
18,6,3.4,1,0,0,1,0,1,0,1993
20,6,3.3,1,0,0,1,0,0,1,1993
15,6,3,1,0,0,1,0,1,0,1993
15,6,3,1,0,0,1,0,0,1,1993
19,6,3,1,0,0,1,0,0,1,1993
19,6,3,1,0,0,1,0,0,1,1993
20,6,3,1,0,0,1,0,1,0,1993
10,8,5.9,0,1,0,1,0,0,1,1985
21,4,2.5,1,0,0,1,0,0,1,1993
21,6,3,1,0,0,1,0,0,1,1993
20,6,3.3,1,0,0,1,0,0,1,1993
21,4,2.5,1,0,0,1,0,0,1,1993
23,4,2.5,1,0,0,1,0,0,1,1993
25,4,2.5,1,0,0,1,0,1,0,1993
20,6,3,1,0,0,1,0,0,1,1993
21,6,3,1,0,0,1,0,0,1,1993
21,6,3,1,0,0,1,0,0,1,1993
19,6,3,1,0,0,1,0,1,0,1993
10,8,5.2,0,1,0,1,0,0,1,1985
20,6,3.8,1,0,0,1,0,0,1,1993
20,6,3.8,0,1,0,1,0,0,1,1993
17,6,3.8,0,1,0,1,0,0,1,1993
18,6,3.8,0,1,0,1,0,1,0,1993
18,8,5,0,1,0,1,0,0,1,1993
20,4,2,1,0,0,1,0,0,1,1993
20,4,2,1,0,0,1,0,1,0,1993
18,6,3,1,0,0,1,0,0,1,1993
17,8,4.5,0,1,0,1,0,0,1,1993
15,8,4.5,0,1,0,1,0,0,1,1993
10,8,5.2,0,1,0,1,0,0,1,1985
18,8,4,0,1,0,1,0,0,1,1993
19,6,3.8,0,1,0,1,0,0,1,1993
18,8,5,0,1,0,1,0,0,1,1993
21,6,3,1,0,0,1,0,0,1,1993
20,6,3.8,1,0,0,1,0,0,1,1993
23,4,2,1,0,0,1,0,0,1,1993
26,4,2,1,0,0,1,0,1,0,1993
19,6,2.5,1,0,0,1,0,0,1,1993
20,6,2.5,1,0,0,1,0,1,0,1993
19,6,3,0,1,0,1,0,0,1,1993
10,8,5.9,0,1,0,1,0,0,1,1985
